year,place,days,gross,On-site,telephone,Off-site
2009,尼崎,180,54128869000,19004097700,11061375900,24063395400
2009,鳴門,180,23481488300,8987209000,4735794800,9758484500
2009,丸亀,186,66458883200,8686451000,25182818200,32589614000
2009,児島,186,22902592200,11995459700,5469895500,5437237000
2009,宮島,156,15856542900,5975430000,4039753100,5841359800
2009,徳山,162,16534235300,5029570200,4847795800,6656869300
2009,下関,186,26483424500,6737905100,7499892400,12245627000
2009,若松,186,66439165900,10448749000,25703506100,30286910800
2009,芦屋,162,21416086200,7736839900,5082286000,8596960300
2009,福岡,186,40862280900,20577441500,8271289700,12013549700
2009,唐津,180,24155135400,6128822000,6633287200,11393026200
2009,大村,186,35786668400,9625524600,13507414500,12653729300
2010,桐生,174,48762801800,10074910400,15805533000,22882358400
2010,戸田,174,44015961300,22559971500,6769077300,14686912500
2010,江戸川,169,22672192600,11441805200,4933536400,6296851000
2010,平和島,170,34308555200,15985401500,7357351800,10965801900
2010,多摩川,173,32937972100,14580606700,6636700600,11720664800
2010,浜名湖,190,41510206500,13713188600,9911510900,17885507000
2010,蒲郡,173,70630973400,12415006800,25832588300,32383378300
2010,常滑,182,26104306700,9830846500,6673391000,9600069200
2010,津,174,18627641800,7743857500,5248092500,5635691800
2010,三国,179,26416226800,7834943600,7422251400,11159031800
2010,琵琶湖,146,24009888600,5895605500,6207630400,11906652700
2010,住之江,172,71581233200,19178117900,19339769600,33063345700
2010,尼崎,169,37531296600,13442944300,8101767200,15986585100
2010,鳴門,174,18356583700,7227354100,4645275500,6483954100
2010,丸亀,173,64062184200,6007960300,24328031200,33726192700
2010,児島,179,26151035100,10305668800,6873793200,8971573100
2010,宮島,149,20264921800,5236026100,5103763800,9925131900
2010,徳山,147,20333445500,4013301000,5689545800,10630598700
2010,下関,169,14912957400,5120392500,4586137900,5206427000
2010,若松,175,54326376600,7948649600,21880551400,24497175600
2010,芦屋,179,26173817800,7061952700,10007259700,9104605400
2010,福岡,169,27679999400,15720711000,5452508600,6506779800
2010,唐津,182,29695963500,5446909300,9049747800,15199306400
2010,大村,177,42396245400,8570401900,14476661300,19349182200
2011,桐生,184,50991271000,9593510400,18291320000,23106440600
2011,戸田,198,66201583900,24226592500,13174902700,28800088700
2011,江戸川,189,25813243000,11516392900,6069232700,8227617400
2011,平和島,190,43581309800,16168620800,9435034600,17977654400
2011,多摩川,191,40625395600,14900477700,8332559900,17392358000
2011,浜名湖,209,31495409100,12503065800,7677720600,11314622700
2011,蒲郡,204,77975731800,13123203800,27415131400,37437396600
2011,常滑,188,29141842300,9458026100,6622950400,13060865800
2011,津,189,21232217900,7509096500,5984221100,7738900300
2011,三国,186,20714096000,7151596800,5821147400,7741351800
2011,琵琶湖,166,24421160200,6339009200,6061254500,12020896500
2011,住之江,187,76331855800,17647153900,21242890400,37441811500
2011,尼崎,197,51700953400,13387562900,11904113900,26409276600
2011,鳴門,186,19705591300,7274842100,4969756500,7460992700
2011,丸亀,199,56658467300,5215829600,22618357700,28824280000
2011,児島,192,33173267800,9612514100,9324441700,14236312000
2011,宮島,168,18751023500,5008649700,5698467300,8043906500
2011,徳山,176,21175330000,3772464300,9520443400,7882422300
2011,下関,190,15840883900,4802622000,5425513600,5612748300
2011,若松,196,56066630000,6881418400,22564979300,26620232300
2011,芦屋,192,31628899400,5997887900,14643075900,10987935600
2011,福岡,197,41350446900,16357143000,9035088800,15958215100
2011,唐津,184,21954955100,3407426300,10322672900,8224855900
2011,大村,195,43310680700,8203904700,15610708400,19496067600
2012,桐生,186,65666608100,9777959800,22613890100,33274758200
2012,戸田,180,45336636100,20061667500,7997441600,17277527000
2012,江戸川,180,26379846400,9545208900,6714397100,10120240400
2012,平和島,186,40934751100,13519923400,9863880200,17550947500
2012,多摩川,180,30831743700,12521549100,6676091500,11634103100
2012,浜名湖,200,36525474700,11993819600,9376920400,15154734700
2012,蒲郡,186,65159237600,9419131400,24396982300,31343123900
2012,常滑,210,26095256400,9494860300,6562916500,10037479600
2012,津,186,23077700700,6572055000,6762619100,9743026600
2012,三国,180,20596845400,6063983100,5881860400,8651001900
2012,琵琶湖,168,23256714300,5507445200,6350859900,11398409200
2012,住之江,180,77795199200,15102319300,22287771700,40405108200
2012,尼崎,186,46166232900,11107625300,10861371100,24197236500
2012,鳴門,180,20131596300,6093405500,5602077800,8436113000
2012,丸亀,192,59697679200,4347090800,24240012800,31110575600
2012,児島,192,33008064000,8363087600,9766344900,14878631500
2012,宮島,162,17851458300,4280128300,5682635700,7888694300
2012,徳山,168,26931362100,2945598500,12267021100,11718742500
2012,下関,186,23002415100,3961812300,7613034400,11427568400
2012,若松,192,64595620300,4572943200,25337055900,34685621200
2012,芦屋,192,37547505700,5199021800,17310793900,15037690000
2012,福岡,186,36051010400,13532937400,8251781700,14266291300
2012,唐津,186,23644298800,2641435900,12261910800,8740952100
2012,大村,186,47274571700,5000983900,17116257800,25157330000
2013,桐生,186,64510285000,8475125200,22837534300,33197625500
2013,戸田,186,44512740000,18284958900,8471162700,17756618400
2013,江戸川,180,25770429900,8652050800,6740604600,10377774500
2013,平和島,186,46978830800,12737105300,11295543100,22946182400
2013,多摩川,180,32434247600,11619141500,6932774900,13882331200
2013,浜名湖,186,30671843700,9902227300,8128714200,12640902200
2013,蒲郡,180,61731108900,8076915100,23874894800,29779299000
2013,常滑,200,36132051000,9016386500,9537238600,17578425900
2013,津,192,27027779200,6221398400,8158139800,12648241000
2013,三国,186,21413366700,5506790500,7105890500,8800685700
2013,琵琶湖,174,28629153000,5578732700,7654044700,15396375600
2013,住之江,186,78233965300,13244395900,24230310100,40759259300
2013,尼崎,186,45068847700,9402304800,10483365800,25183177100
2013,鳴門,186,23821426200,5814120800,6948762400,11058543000
2013,丸亀,198,78557679800,4656937200,31414327400,42486415200
2013,児島,186,24541432500,7227542600,7601312400,9712577500
2013,宮島,162,17976791200,3815134600,5921345000,8240311600
2013,徳山,186,24214862500,2962010100,13401944800,7850907600
2013,下関,180,21428104000,3301432800,7915009800,10211661400
2013,若松,198,73061629200,4638619800,28338232900,40084776500
2013,芦屋,192,39756393200,4873891100,19222305500,15660196600
2013,福岡,200,39585376900,13547254500,9778606000,16259516400
2013,唐津,186,23486217500,2491680500,12950467900,8044069100
2013,大村,186,38048984800,3967929400,15395086100,18685969300
2014,桐生,191,67818050300,7153989800,26630683900,34033376600
2014,戸田,186,50985668300,18052114800,11534602400,21398951100
2014,江戸川,180,26463160000,8066179100,7947387300,10449593600
2014,平和島,186,53861213900,12460735800,15779248500,25621229600
2014,多摩川,180,31072163600,10366266700,7979524300,12726372600
2014,浜名湖,202,38766418900,10178444400,11685164600,16902809900
2014,蒲郡,186,70074777700,8839760000,29151838200,32083179500
2014,常滑,203,34316120500,8291661400,10500260700,15524198400
2014,津,192,22198290600,5612432500,7141825500,9444032600
2014,三国,188,25454509800,4709541900,9030550500,11714417400
2014,琵琶湖,168,28988163900,5070044200,8808739700,15109380000
2014,住之江,186,73871714300,10934966400,24946945900,37989802000
2014,尼崎,186,45781432400,8378701100,12196319000,25206412300
2014,鳴門,,,,,
2014,丸亀,204,78635935100,4696554900,34343135800,39596244400
2014,児島,190,29365006800,6670360600,9801721100,12892925100
2014,宮島,198,36368333600,4215146700,11850411800,20302775100
2014,徳山,192,26942125100,2692428200,16342857800,7906839100
2014,下関,192,27213144700,3174966000,11016446300,13021732400
2014,若松,204,80488011500,4482564800,32838317800,43167128900
2014,芦屋,200,34737208500,4397193300,19331725400,11008289800
2014,福岡,200,40860651800,13444160800,11423263800,15993227200
2014,唐津,192,31861726600,2541970700,16275264400,13044491500
2014,大村,191,39164364200,3380552700,16689375100,19094436400
2015,桐生,194,71361439600,7243259800,30591969800,33526210000
2015,戸田,186,45179103200,16403615700,10951095600,17824391900
2015,江戸川,180,29590086900,7726871800,9352685300,12510529800
2015,平和島,186,48400244700,11051852600,14704991300,22643400800
2015,多摩川,180,37215084900,10247788700,10531778200,16435518000
2015,浜名湖,203,36455306500,9342056700,12229313100,14883936700
2015,蒲郡,198,90921260800,9625812100,39419985000,41875463700
2015,常滑,204,27893041100,7474287400,8976049200,11442704500
2015,津,192,25409870600,5299838900,8929042100,11180989600
2015,三国,188,30013237700,4792847600,11614465700,13605924400
2015,琵琶湖,180,27833455700,4731019200,9363179500,13739257000
2015,住之江,186,79614480100,10974677400,29066257800,39573544900
2015,尼崎,186,41496886500,7556031100,12046758600,21894096800
2015,鳴門,,,,,
2015,丸亀,204,81934334200,4402622300,36856210600,40675501300
2015,児島,192,31603052500,6205106700,11349329400,14048616400
2015,宮島,198,45831435700,4282751400,15843583700,25705100600
2015,徳山,192,33606909100,2586061300,19438323600,11582524200
2015,下関,179,23603911700,2461236300,10090690900,11051984500
2015,若松,192,70499569800,3792090500,30207778800,36499700500
2015,芦屋,200,43562807500,4697869800,23789004000,15075933700
2015,福岡,186,38902764800,11504764600,11486297100,15911703100
2015,唐津,192,31462002000,2271194600,18814492500,10376314900
2015,大村,204,49892123700,3999803800,21434745500,24457574400
2016,桐生,194,89681720000,7277620500,40730199800,41673899700
2016,戸田,186,45902244800,14284293700,13116739800,18501211300
2016,江戸川,180,34189697800,7382227100,12340463500,14467007200
2016,平和島,186,46621879700,10139825600,15727572800,20754481300
2016,多摩川,180,35849326000,9071554900,11543089500,15234681600
2016,浜名湖,200,34606591000,8264882400,12282198200,14059510400
2016,蒲郡,192,87769879100,8185603200,40913828400,38670447500
2016,常滑,205,30244087700,6642595200,11300348300,12301144200
2016,津,192,31715044200,4765981700,12995973400,13953089100
2016,三国,186,24801375700,3900008400,10453110200,10448257100
2016,琵琶湖,186,34741196600,4621471500,12628566200,17491158900
2016,住之江,186,93186271800,10117000900,40353308600,42715962300
2016,尼崎,186,44045063400,6951008500,14941485700,22152569200
2016,鳴門,186,35567550000,4398504400,13471154400,17697891200
2016,丸亀,198,74281813200,3518847600,36541451300,34221514300
2016,児島,192,32257649800,5744160700,13315344500,13198144600
2016,宮島,198,31828980900,3569325900,12582686200,15676968800
2016,徳山,192,38218015000,2376277600,21573565500,14268171900
2016,下関,168,23157439100,2053712000,11086122100,10017605000
2016,若松,192,73070443800,3542638900,34466205600,35061599300
2016,芦屋,192,42135206900,4094689200,23947757500,14092760200
2016,福岡,192,43999096000,10669958900,15260149400,18068987700
2016,唐津,192,36208245100,2033146700,21409743000,12765355400
2016,大村,198,47072247000,3479635500,22009134200,21583477300
2017,桐生,190,77394378900,6289599900,39111583300,31993195700
2017,戸田,186,50990644900,14057369900,17095041600,19838233400
2017,江戸川,180,37998222800,7039453200,16257822300,14700947300
2017,平和島,186,51515866500,9958102100,20565265300,20992499100
2017,多摩川,180,36224424800,8021832300,13793173200,14409419300
2017,浜名湖,203,43478453800,8375790100,18652404800,16450258900
2017,蒲郡,192,83302366500,7319128800,43796651900,32186585800
2017,常滑,200,35851735600,6470595700,15700418700,13680721200
2017,津,192,30666024100,4265705100,14267817300,12132501700
2017,三国,182,29889535000,3656556200,14244721500,11988257300
2017,琵琶湖,186,39340896800,4458565800,16441867600,18440463400
2017,住之江,186,94778389800,9851348600,46675999100,38251042100
2017,尼崎,186,37139953900,6020206100,13967564600,17152183200
2017,鳴門,186,33716070000,3502418800,15309604100,14904047100
2017,丸亀,198,88504889200,3728384400,48190410800,36586094000
2017,児島,189,32126307100,4825261200,14783563900,12517482000
2017,宮島,198,33557822600,3276474300,14799874100,15481474200
2017,徳山,192,43634258400,2117412100,27080306900,14436539400
2017,下関,186,67550031800,2048414700,38151077300,27350539800
2017,若松,194,84363733100,3817184700,44111215000,36435333400
2017,芦屋,192,54342912100,3784265000,32013031700,18545615400
2017,福岡,186,46122067000,9716119400,18845043300,17560904300
2017,唐津,198,47714433200,1777226100,29784426600,16152780500
2017,大村,198,57677189400,2937443000,30118445400,24621301000
2018,桐生,194,87073312200,6373473900,48145672700,32554165600
2018,戸田,192,64461440800,14737014900,25986532700,23737893200
2018,江戸川,180,40794487000,7045552500,20393833300,13355101200
2018,平和島,186,61868137200,9920990400,26948929400,24998217400
2018,多摩川,183,44049233700,7698848600,18907330000,17443055100
2018,浜名湖,200,49870373800,8258625700,23394732900,18217015200
2018,蒲郡,192,91960852700,7483758400,53417617700,31059476600
2018,常滑,200,35846530200,5838501400,16961269200,13046759600
2018,津,192,37088067600,4133787300,18731527400,14222752900
2018,三国,192,37551406800,3618363700,21555794000,12377249100
2018,琵琶湖,186,38232252300,3915989000,17874671200,16441592100
2018,住之江,186,103346206300,10166353500,54929876100,38249976700
2018,尼崎,186,49205084100,6298493500,21742183200,21164407400
2018,鳴門,180,38768807500,2966669800,23430363400,12371774300
2018,丸亀,198,89090610500,3588595600,51678255100,33823759800
2018,児島,198,38668391500,4767969400,19833086700,14067335400
2018,宮島,198,36805956400,3308821100,18571675100,14925460200
2018,徳山,198,52017708700,2425941300,32740898600,16850868800
2018,下関,180,70871489000,1793656300,42004845000,27072987700
2018,若松,188,78887651600,3465423000,44532682200,30889546400
2018,芦屋,198,62617168400,4092906500,38283129500,20241132400
2018,福岡,186,43732810000,8694332400,18881383900,16157093700
2018,唐津,186,47147060600,1724406200,30301435400,15121219000
